"","text","stringAsFactors"
"93","silahkan vaksinnya kak   tembus ke pedlindungi  dapat tiket kartu vaksin  proses cepat  murah  trusted  data aman  testi cek di pinned twitter  langsung klik link bio untuk order ya   jasa jasavaksin jokivaksin vaksin wts ",FALSE
"94","silahkan vaksinnya kak   tembus ke pedlindungi  dapat tiket kartu vaksin  proses cepat  murah  trusted  data aman  testi cek di pinned twitter  langsung klik link bio untuk order ya   jasa jasavaksin jokivaksin vaksin somad mau nangis freya ",FALSE
"95","medbedsbiobedsbisa sembuhkan hampir semua penyakit berat dgn cara merekonstruksi ulang organ tubuh yg rusak pada tingkat atom sembuhkan penyakit tanpa obat kimia tanpa racun tanpa vaksin  medbeds biobeds greatawakening   ",FALSE
"96","  ardisantoso dokteranak indonesia surakarta anaksehat polio vaksin ",FALSE
"97","vaksin itu aman untuk kesehatan karena akan membentuk kekebalan tubuh agar terhindar dari virus corona varian baru omicron ba dan ba vaksin ayovaksincovid ",FALSE
"98","silahkan vaksinnya kak   tembus ke pedlindungi  dapat tiket kartu vaksin  proses cepat  murah  trusted  data aman  testi cek di pinned twitter  langsung klik link bio untuk order ya   jasa jasavaksin jokivaksin vaksin wts ",FALSE
"99","silahkan vaksinnya kak   tembus ke pedlindungi  dapat tiket kartu vaksin  proses cepat  murah  trusted  data aman  testi cek di pinned twitter  langsung klik link bio untuk order ya   jasavaksin jokivaksin vaksin tembakvaksin ",FALSE
"100","silahkan vaksinnya kak   tembus ke pedlindungi  dapat tiket kartu vaksin  proses cepat  murah  trusted  data aman  testi cek di pinned twitter  langsung klik link bio untuk order ya   zonauang zonajajan jasavaksin jokivaksin vaksin zonabu ",FALSE
"101","halo kak aku masih open jasa tembak vaksinnya ya tentunya permanen aman dan legal cocok buat yang ada kepentingan mendadak atau buat yang males suntik zonauang zonavaksin infovaksin vaksin tembakvaksin jokivaksin",FALSE
"102","cegah varian xbb dengan lengkapi vaksin covid  vaksin vaksìncovid vaksìnbooster ",FALSE
"103","simak ini lokasi dan jadwal vaksinasi booster di jakarta sabtu  november        parboaboa vaksinasi vaksinasibooster vaksin dinkes dinkesdkijakarta berita beritaviral beritahariini beritaterbaru  ",FALSE
"104","jakarta tren penambahan kasus aktif pmk secara nasional disebut menurun smashnews beritaterbaru beritaterkini beritaterupdate kabarterkini pmk hewanternak vaksin   ",FALSE
"105","sudah bnyak reseller amanah proses cepat yang minat lgsung japri saja atau dm saya   vaksin sertifikatvaksin vaksinbatam sertifikatvaksin tembakvaksin zonauang zonajajan infoloker agenttiket tiketpesawat jasaumroh naikhaji ",FALSE
"106","saksikan siaran ulang pembahasan bersama ketua umum hippindo bapak budihardjo iduansjah sesi hari ini pukul  wib di    hippindo cnbc cnbcindonesia covid booster vaksin vaksincovid vaksìnbooster ritel indonesia",FALSE
"107","menkes sebut masyarakat yang tak vaksin berisiko meninggal pada gelombang covid subvarian baru  hmmmmm    baca selengkapnya   beritaterkini media online news breakingnews menkes masyarakat vaksin vaccine covid indonesia",FALSE
"108","bpomri vaksinaman bersatulawancovid halobpom vaksin  ralat di infografis slide  tertulis covovax untuk usia  tahun keatas seharusnya usia  tahun ke atas",FALSE
"109","hai sohib   memperbarui regimen pemberian vaksin covid booster di indonesia   warga penerima vaksin primer dosis    sinovac diperbolehkan menerima booster vaksin indovac dengan dosis penuh  ml  indonesiabaik vaksin vaksinasibooster kominfonewsroom ",FALSE
"110","jadwal vaksinasi covid    november   untuk informasi lokasi dan jadwal vaksinasi lebih detil bisa dicek di akun instagram kelurahan kecamatan dan puskesmas kecamatan setempat  vaksin infojaktim jakartatimur ",FALSE
"111","silahkan vaksinnya kak   tembus ke pedlindungi  dapat tiket kartu vaksin  proses cepat  murah  trusted  data aman  testi cek di pinned twitter  langsung klik link bio untuk order ya   zonauang zonajajan jasavaksin jokivaksin vaksin zonabu ",FALSE
"112","silahkan vaksinnya kak   tembus ke pedlindungi  dapat tiket kartu vaksin  proses cepat  murah  trusted  data aman  testi cek di pinned twitter  langsung klik link bio untuk order ya   zonauang zonajajan jasavaksin jokivaksin vaksin zonabu ",FALSE
"113","silahkan vaksinnya kak   tembus ke pedlindungi  dapat tiket kartu vaksin  proses cepat  murah  trusted  data aman  testi cek di pinned twitter  langsung klik link bio untuk order ya   zonauang zonajajan jasavaksin jokivaksin vaksin zonabu ",FALSE
"114","halo kak aku masih open ya buat jasa tembak vaksin atau joki vaksinnya buat yang ada perjalanan mendadak acara konseran dansebagainya bisa ke aku ya kak testi di tl zonauang zonavaksin infovaksin vaksin tembakvaksin ",FALSE
"115","yuk yang ingin vaksin silahkan hubungi saya proses cpt insyaallah amanah   vaksinmalang vaksin vaksinbali vaksindenpasar vaksinbooster vaksinbatam vaksinmedan sertifikatvaksin zonajajan zonabu zonauang covid covidvaccine covid fifaworldcupqatar ",FALSE
"116","gratis download game drag bike m versi lama   viral gempa opposite ikatancinta news islam muslim haram kpop oppa vaksin indonesia  peoplepower korea kdrama hacker tauhid artis ",FALSE
"117","rspi rsuzabandaaceh vaksin vaccine vaksinanak vaksincovid covid covid ",FALSE
"118","vaksin covid corona bandaaceh aceh nad vaksinasi ayovaksin omicron ",FALSE
"119","vaksin covid corona bandaaceh aceh nad vaksinasi ayovaksin omicron ",FALSE
"120","vaksin covid corona bandaaceh aceh nad vaksinasi ayovaksin omicron ",FALSE
"121","vaksin covid corona bandaaceh aceh nad vaksinasi ayovaksin omicron ",FALSE
"122","vaksin covid corona bandaaceh aceh nad vaksinasi ayovaksin omicron ",FALSE
"123","silahkan vaksinnya kak   tembus ke pedlindungi  dapat tiket kartu vaksin  proses cepat  murah  trusted  data aman  testi cek di pinned twitter  langsung klik link bio untuk order ya   zonauang zonajajan jasavaksin jokivaksin vaksin zonabu ",FALSE
"124","  ardisantoso dokteranak dokter indonesia anaksehat vaksin ",FALSE
"125","sampaikan sebagai aspirasi ke rumah besar rakyat dpdri di senayan  pintu terbuka lebar   lanyalla vaksin covid ",FALSE
"126"," parboaboa bias imunisasi imunisasianak vaksin vaksinanak bulanimunisasianaksekolah anaksekolah kesehatan infokesehatan info infoterkini infohariini infoindonesia berita beritaharian beritahariini beritaterkini beritaindonesia",FALSE
"127","vaksin meningitis tak lagi wajib tapi masyarakat perlu sadar kesehatan mandiri      ldii ldiiuntukbangsa profesionalreligius lembagadakwahislamindonesia ldiinews kesehatan vaksin meningitis",FALSE
"128","anda ribet antri takut jarum suntik penyakit kronis ingin keluar kotanegri persyaratan lainnya solusi kmu bisa saya bantu    jokivaksin agenttravel agentpesawat agenttiket infovaksin jadwalvaksin zonabu zonauang indonesiasehat vaksin ",FALSE
"129","ini harga real nya ya kami jasa anda yang amanah sdh ratusan testi ada di kami  proses mnt riset data agent tiket borongan silahkan join di kmi seller resmi ya silahkan wa saya   jokivaksin vaksin fyff sertifikatvaksin zonauang zonabu agenttiket ",FALSE
"130","open jasa sertifikat vaksin dosis booster terdaftar di pedulilindungi booster belum  bulan bisa juga dan gotong royong buruan inbox zonauang vaksin jokivaksin tembakvaksin aman tembuspedulilindungi cuan dorvaksin ",FALSE
"131","kemenkes tambah  jenis vaksin baru covid  baca selengkapnya   beritaterkini media online news breakingnews kemenkes vaksin covid covidvaccine vaccines covid indonesia",FALSE
"132","booster dan penerapan prokes adalah dua kunci tak terpisahkan mengingat kini muncul virus varian baru yang dinamakan omicron ba dan ba vaksin ayovaksincovid ",FALSE
